"entry,def"
"当たり取り,発破をかけた後，支保工や覆工の施工に支障する最小巻厚線内に残留した地山を取り除く作業をいう．発破によってトンネルを掘削する場合，掘削面が凹凸になるのは普通で，鋼製支保工の建込みや吹付けコンクリートおよび覆工コンクリートの巻厚に支障がないように当たりを取り，掘削面を整形しなければならない．"
"アーチ効果,アーチ状の構造によって，主として圧縮力によって荷重を伝達させて地山を安定化させる働きのことをいう．たとえば，砂のような粘着力のない土をアーチ状に切り欠いた場合に，土の自重による応力が周囲に伝達され，アーチ上部の安定が保たれるのもアーチ効果によるものである．水平方向の土圧についても同様で，壁の一部が掘削されると，土圧はアーチ作用によって周囲に分散され，土圧の再配分が起こることで地山が安定化する．"
"アーチコンクリート,トンネルおよび地下空洞のアーチ部分の覆工コンクリートの名称．アーチ部分以外の覆工コンクリートは，側壁(コンクリート)，インバート( コンクリート)などの名称でよばれている．"
"アーチシェル,曲面半径に比較して，厚さが非常に薄い面曲板からなる構造形式のことをいう．主として曲げとねじれに抵抗する．大きな空間を構築したり，大きな内・外圧に抵抗する構造として用いられる．"
"アーチ式支保工,山岳トンネルにおいて用いられるアーチ状の支保工のことをいう．古くは木製の支保工が用いられたが，現在は鋼製である．掘削から覆工打設までの間，地山の崩落等を防止し，所定の掘削断面を維持するとともに，能率よく坑内作業が行えるよう設置する． 鋼製支保工"
"アーチ部覆工型枠,セントル"
"アーチリブ,鋼製支保工"
"アーチング効果,土被りがトンネルの直径に比べて大きい場合には，掘削に伴なう緩み領域が地表まで達せず，緩み領域の外側の部分では応力が再配分されグラウンドアーチが形成される．このため覆工には，全土被り荷重に比べて小さい，いわゆる緩み土圧が作用することとなる．このような効果のことをいい，アーチ作用，グラウンドアーチなどともいう．アーチ効果 アーチ作用 グラウンドアーチ"
"圧気ケーソン,ニューマチックケーソン"
"圧気工法,湧水の多い軟弱地山などを掘削する場合，切羽に水圧に抵抗し得る圧力をもった圧縮空気を送り，湧水を抑え，切羽の安定を図りながら掘削する工法．開放型シールド工法やケーソン工法に用いられている．山岳工法でも一部採用されている．土被りが小さいところや透気性の高い地盤では，圧気が直接地表や地下室などに噴発する危険があり，湿気や酸欠に対する十分な配慮が必要である．また，作業員に対する潜函病の対策，健康管理にも留意する必要がある．ロック設備 漏気"
"圧気シールド,圧気工法 限定圧気シールド"
"圧気推進工法,切羽の自立が困難な場合，トンネル前面の水圧に対抗するため圧縮空気により切羽を保持する工法．大気圧から圧気の作用する切羽に作業員が入るため，刃口の先頭から１～４本の管に第１ロックドアと第２ロックドアを装備した圧力調整室を設けるとともに，２本の圧気供給パイプとブロアを用いて切羽に空気を送り，帯水地盤での施工を可能にする．"
"圧ざ,トンネル変状の一種．覆工に作用する塑性圧，緩み圧，偏圧などにより，覆工が曲げ圧縮損傷あるいは曲げ圧縮破壊し，覆工の天端，肩部等に縦断方向に連続したひび割れ，剥離あるいは浮きが目視で確認できる状態となる．地震に伴って発生することもある．"
"圧砕,TBM掘削では，ディスクカッターを岩盤に押し付け，転動接触させることで，ディスクカッターの刃先接触部で岩盤を粉砕し，その領域から亀裂が生じる．この亀裂はディスクカッターの押し付け力によって伸展し，カッター刃先間の表面付近の岩盤がはく離する．カッターヘッドの回転力によって一定間隔にデスクカッターを転動前進させて，岩盤のはく離を継続し，切羽全体の岩盤掘削を行う．"
"圧縮空気削岩機,圧縮空気を動力源とする削岩機の総称である．圧縮空気削岩機には，チッピングハンマ，ピックハンマ，ハンドブレーカ，レッグドリル等がある．レッグドリルやハンドブレーカは手持ちで使用する削岩機であることから，かつては山岳トンネルの工事においては，ドリルジャンボや大型ブレーカでは取り回しが困難な箇所での削岩に利用されていた．"
"圧縮せん断破壊,岩石やコンクリートが圧縮力を受けた場合，軸差応力によるせん断力により破壊する現象をいう．岩石試料の一軸圧縮試験では明瞭な破壊面を確認することができる．"
"圧接継手,圧接継手とは，鉄筋の切口と他の鉄筋の切口同士を突き合わせ，その部分を周囲からガスバーナーで加熱しながら押しつけ，溶融した部分が分子的に接続される継手のことであり，手動ガス圧接継手，自動ガス圧接継手，熱間押抜ガス圧接継手がある．手動ガス圧接継手とは，手動ガス圧接装置を用い，加圧および過熱操作を手動で行う継手である．自動ガス圧接継手とは，自動ガス圧接装置を用い，加圧工程およびバーナ駆動操作を自動的に制御し圧接を行う継手である．熱間押抜ガス圧接継手とは，圧接を終了した直後に，圧接部のふくらみをせん断刃で鉄筋の径を1.2倍程度の直径に押抜き除去を行う継手である．"
"圧入工法,鋼矢板，Ｈ鋼杭を油圧で地中に圧入する杭打ち工法．最近では鋼管矢板を圧入できる施工機械も開発されている．すでに打設済みの杭をつかみ，その引抜抵抗を利用して次の杭を圧入するため，無振動，無騒音で施工でき都市部の杭打ち工事に採用されている．アースオーガーや高圧水噴射を併用する場合もある．"
"圧入式短尺鋼管先受け工,天端部の補強を目的とした先受け工の一種で「非充填式フォアポーリング」に含まれる．挿入のための削孔は行わずに，ドリルジャンボ等により圧入・打ち込みを行う．湧水を伴う砂質地山等では，鉄矢木・鋼矢板を打ち込み天端部を補強する場合もある．最近では鋼矢板とパイプを一体化したものも開発・適用されている．"
"圧密沈下,圧密による間隙の体積の変化に伴い，地盤が沈下する現象をいう．"
"圧力トンネル,湖，貯水池，河川等から取水した水をトンネルによって導水する場合，トンネル空間を満水状態とし，トンネル内壁面に内水圧をかけながら導水するトンネル．水理学的には動水勾配線以下に位置する水路トンネルをいう．"
"アーティキュレートダンプ,フレーム屈折式のダンプトラックである．フロントフレームとリアフレームを屈折（articulated）させて回転させるため，トンネル坑内のような狭隘な箇所での旋回が可能である．タイヤ方式によるずり出しにおいて用いられる．"
"当て板工,覆工のはく離，はく落に対する対策工の一種．剛性のある形鋼で覆工コンクリート塊を保持する方法，鋼板や炭素繊維シートで面的に保持して落下防止を図る方法がある．いずれの方法でも劣化部の荷重を周辺の健全部で保持するため，形鋼やシートの配置を適切に考慮する必要がある．"
"ADECO-RS,トンネル縦断方向に着目し，切羽前方においては地山の剛性を調整し，切羽後方においてはできるだけ切羽近傍で断面を閉合して，地山の変位抑制およびトンネル安定化を図るという概念．不良地質の場合，多数の鏡ボルトを打設して切羽前方地山の剛性を増加させるのが特徴的．本工法は，イタリアのLunardiが提唱したもので，基本的な考え方はLombardiの研究をもとにしている．"
"後ガス,掘削のための爆破に際して発生する有害ガスのことで，発破後ガスともいう．トンネル建設工事において使用される爆薬の後ガスの有毒成分は主としてCO，NOxであるがその発生量は爆薬の種類，装薬量などよって異なる．換気の対象となる有害ガスの種類とその標準発生量を表に示す．"
"後注入方式ロックボルト,定着材の充填に先立って，自穿孔ボルト等を打設した後，ボルト口元のコーキング処理等を行ってからモルタルなどの注入を行って定着させるとともに，ボルト孔周辺地山の改良も可能なロックボルトのことをいう．孔壁の自立性が悪く，孔荒れしてモルタル充填ホースが孔底まで挿入できない，あるいは充填ホースの適切な引抜き速さが得られない場合等，ロックボルトの全面定着を確保できない多亀裂性岩盤，風化岩地山や砂層，礫層を主体とする土砂地山等に用いられる．"
"後荷,支保工や覆工が，施工された後に，支保工や覆工に作用する土圧が増加することをいう．後荷は地山の緩みが地山の塑性変形に伴ういわゆるクリープ現象によるものや，切羽の進行に伴う三次元的な応力変化によって生ずると考えられる．"
"後普請,切羽の掘削作業において，後方で支保工の建込み作業を行うことをいう．地山が良好な場合は，この方式で支保工の施工ができる．場合によっては，掘削作業とある間隔をおいて別の作業編成によって支保工を施工することもある．"
"後防水,躯体の漏水を防止するための防水工の施工工法であり，施工時期により，後防水と先防水がある．後防水は，躯体コンクリート打設後に直接躯体の内外面に防水材を設置する．先防水は，躯体コンクリート打設前の下地板や土留め壁等に防水材を設置する．先防水の場合には，防水材設置後に近接して行う鉄筋の配筋や圧接作業等により，防水材を損傷することがないよう十分に配慮する必要がある．"
"孔荒れ,ロックボルトや先受け工などにおける削孔作業において，削孔された孔の周辺地山が崩落するなどして，所定の孔径が確保できない状態をいう．孔荒れを生じた場合，ボルトの挿入や定着材の充填作業などが適切に行えない．"
"孔尻,発破孔先端の部分を指す．爆破後に破砕されず孔形が残ることがある．"
"孔曲がり測定器,孔曲がりとは，せん孔した孔が所定の方向から偏心して曲がることをいい，孔曲がり測定器とはボーリング孔の方位・傾斜角を測定する装置．タイマーと連動した測定装置で，地上で設定した時刻に装置の深度での方位・傾斜角が記録される．記録方法はフィルムに写す方法，記録紙への針の打点，方位・傾斜角の目盛りの固定などの方法がある．最近ではパソコンとジャイロセンサーを組み合わせ，深度，三次元座標をリアルタイムに測定，記録する装置も開発されている．なお，一般に鉛直ボーリングよりも水平・傾斜ボーリングで孔曲がりが生じやすい．"
"油目,岩石（主に頁岩など）の表面や節理面がせん断作用などにより鏡のように磨かれ，油を塗ったようにテカテカとした光沢を示す状態をいう．油目に沿って滑動が発生し易くなっていることから，油目が地山に出現した場合には，掘削時の切羽面からの岩塊剥離や崩落，掘削後の地山の押出し等に注意する必要がある．"
"アブレシブウォータージェット,水に研磨材を添加して高圧で噴射することで，材料を切断する方法．鉄筋コンクリート，ガラス，鉄鋼や，複合材料・厚いものの切断も可能である．"
"AVS値,ＡＶＳ値はＴＢＭのディスクカッターの寿命を求めるための値で，ＴＢＭディスクカッターのカッタースティール試験片に対する石粉の研磨性を測定する試験（ＡＶＳ試験）で求める．"
"網状パイル,新設するトンネルに近接した構造物を補強する方法で，小口径の杭や鉄筋等を地盤内に網状に配置し，近接する法面や構造物の補強を行う工法をいう．"
"アラミドシート,アラミド繊維シートはアラミド繊維を１方向または２方向に配列してシート状にした材料である．覆工のはく落防止には２方向配列のシートが使用され，エポキシ樹脂を含浸させながら覆工に貼付する．アラミド繊維は引張強度と弾性係数が高く，耐衝撃性，耐蝕性，耐熱性に優れており，化学的にも安定している．軽量で施工性が良く，また，導電性が無いため，鉄道トンネルの電化区間の補修，補強にも問題無く使用することができる．"
"RRS,ロックボルト打設箇所を鉄筋と吹付けコンクリートで補強する工法のことをいう．部分的に破砕された岩盤等で，ロックボルト頭部の吹付けコンクリートを鉄筋で補強することでロックボルトの支保効果を確保する．海外では，一次吹付け後，鉄筋を配筋して二次吹付けを施工し，その後，ロックボルトを打設し，仕上げ吹きを行うといった施工方法がとられている．"
"R&C工法,函体けん引工法であるＢＲ（Box Roof)工法と函体推進工法であるＳＣ（Sliding Culvert）工法の総称．間接防護工として箱型ルーフを用いることを特徴としている．ＢＲ工法は，フロンテジャッキング工法の改良工法で，PC鋼線とフロンテジャッキを用いて本体構造物をけん引しながら，事前に圧入された防護用箱形ルーフを押し出していく工法．"
"RSR,適切な空洞支保の設計を目的として，Wickham，Tiedemanおよび Skinnerが提案した岩盤分類法．地質要素として岩石の種類，割れ目の種類と方向性，割れ目間隔，断層や褶曲構造を，施工要素としてトンネルの大きさ，掘削方法を点数化し，岩盤分類に初めて評点方式を導入したもので，評点は過去の工事記録から求めている．"
"RMR法,一軸圧縮強度，RQD，割れ目の間隔，割れ目の状態，地下水，不連続面の方向性に関する評価点の総和で岩盤等級を評価するものである．Q システムと並んで国際的に知られた岩盤分類法の１つである．提唱者はBieniawski．中硬岩を対象としているが，Qシステムと比べて簡便な手法であり適用しやすい．総合評点から岩盤の変形係数やｃ，φを推定でき，数値解析の入力値として利用できる．"
"アルカリ骨材反応,骨材中のシリカ鉱物とセメント中のアルカリイオンが化学反応を起こし，骨材が膨張する現象である．骨材の膨張により覆工内部にひび割れが生じ，覆工の強度が低下するとともに，はく離，はく落の原因となる．コンクリート表面に亀甲状のひび割れが発生する．反応のメカニズムと骨材の種類により，アルカリシリカ反応，アルカリ炭酸塩岩反応およびアルカリシリケート反応の３つに分類される．"
"アルカリフリー急結剤,水溶性アルミニウム塩を主成分とし，アルカリ分をほとんど含まない急結剤のことをいう．アルカリ分をほとんど含まないので，吹付けコンクリート中のアルカリ骨材反応を助長することがなく，初期強度および長期強度の発現性に優れている．また，吹付けコンクリートの付着性が大きくなり，はね返りや粉じん量を低減できるので，作業環境の改善も期待できる．"
"RQD,アメリカのDeereにより提案されたもので，4インチ(約10cm)以上の長さのコアの累計の削孔長（通常1m）に対する百分率をいう.日本では10cm以上のコア長の合計値を1m区間毎に求めて表示することが多い．強風化した棒状コアはカウントしない．トンネルの設計に用いられる岩盤分類の内，RMRとQシステムにおいてRQDが用いられている．割れ目の多い岩盤の評価には棒状のコアを5㎝以上とした修正RQDも用いられる．"
"RCセグメント,RC（鉄筋コンクリート）セグメントは，鉄筋コンクリート製のセグメントであり，トンネル径が大きくなると経済性に優れていることから，一般に中大口径トンネルにおいて使用実績が多いセグメントである．鉄筋コンクリート製の長所としては，耐久性に富んでいる，耐圧縮性に優れている，剛性が大きい，施工に留意すれば水密性に優れていること等があげられる．一方，その重量は大きく，引張剛性が小さい．また，セグメント端部は破損しやすく，脱型，運搬，および施工時の取扱いには十分な注意が必要となるなどの特徴がある．形状は，一般的には平板形であるが，鉄道トンネルを中心に中子形が採用された実績もある．"
"アレイ,物理探査分野で平面または鉛直方向に並べた地震計群のこと．平面アレイを用いる手法として，表面波の内，主にレイリー波の分散特性からS 波速度分布と相関のある地下水平成層構造を推定することができる微動アレイ探査がある．また鉛直アレイでは，地震動の鉛直方向の変化から地盤の減衰特性などを知ることができる．"
"アングルカット,トンネル切羽面の発破において，最初に起爆される発破のことを心抜（しんぬき）といい，そのための発破孔を心抜孔という．心抜には，大きく分類して切羽面に角度を持たせて削孔するアングルカットと切羽に直角に並行して削孔するパラレルカットがある． アングルカットには最も一般的に用いられているＶカットやピラミッドカットなどがある．"
"あんこ,発破の際，削孔内に爆薬を装填してからさらに，自由面に近い方に込め物をする．これをあんこという．材料は粘土，陶土，砂，岩粉，生ゴムおよびこれらの混合物が一般であり，次のような効果が期待できる．①密閉による爆薬の完爆性の促進②爆発エネルギーの密閉による効果の上昇込め物の長さは孔径によるが，20～25cmである．"
"暗順応曲線,明るい所から暗い所に移動したときの人間の眼がその明るさに対して順応するまでの時間的変化を表した曲線をいう．ある一定以上の長さの道路トンネルでは，昼間，明るい所から暗いトンネル内に進入したときに運転者の眼が順応するように入口部照明が設置されている．"
"暗振動,ある場所において特定の振動を対象とする場合に，対象の振動以外で，その場所に存在する振動を，対象の振動に対して暗振動という． トンネル工事における暗振動には，交通振動等のトンネル工事などの建設作業に係わる作業以外の環境振動がある．"
"安全衛生管理体制,労働安全衛生法で，責任体制の明確化および自主的活動の措置を講ずるよう規制されている．大別して２つの場合に分けて規制されている．その１つは，同一企業の各事業場についての規制であり，一般のトンネル工事のように下請制度で工事が進められているときは，元請は元請のみ，下請はそれぞれの各下請単位で規制されている．"
"安全係数,コンクリート構造物の設計に用いられる安全率．限界状態設計法では材料係数，荷重係数，構造解析係数，部材係数および構造物係数がこれに該当し，それらの値は各要因の不確実性等を考慮して定められる．また,安全率と同意として使われることもある．実際の構造物の使用環境は，材質の経年劣化や環境の違い，想定外の状況など，多分に不確実性を含んだものである．設計者はそれらの事象を想定し，設計時にできる限りの計算を行うが，全てのことを計算し尽くせるわけではない．そのため，実際にはある程度の余裕をもって設計する必要がある．"
"安全通路,坑内作業者が切羽またはその他の作業箇所への歩行による往復の際，運行中の車両と接触する危険防止のため，歩行者の専用通路を設置することがある．これを安全通路という．この通路は柵，ロープ等で軌道，ダンプ走行路と明確に分離され，かつ歩行面は足場板を用いるなど十分整備されていることが必要である．労働安全衛生規則第205条では，軌道を敷設した場合の安全通路は，側壁または支保工と車両との間に60cm以上確保することとし，60cm以上確保できない場合には適当な間隔ごとに回避所を設けなければならないとしている．"
"安全点検,工事の進捗に伴い，地山，支保工，各種機械設備，作業環境などに変状または欠陥が生ずることが多く，これらを放置しておくことにより，災害や事故につながる場合が少なくない．安全点検とは，上述のようなものを対象に災害要因の発生を定期あるいは不定期に検査し確認するとともに，必要に応じ，補強，改善を図る行為である．労働安全衛生規則でも，たとえば，地山の浮石，亀裂，湧水の状況や支保工に関する項目についての安全点検が義務づけられている(第382条396条)．法規以外のものでも，軌道装置，運搬機械設備，照明，換気，排水，通路など重要な項目については点検者を定め実施する必要がある．このような安全点検を単位作業場ごと，あるいは，工区全域にわたって行うために巡視することを安全パトロールという．安全点検に際しては，チェックリストを作成し，その結果を記録，保存し，改善，補修等が確実に行われたか否かの確認に利用することが望ましい．"
"安全灯,防爆構造を有する照明灯で，石炭鉱山保安規則により甲種炭鉱および乙種炭鉱の一部においてその使用が規定されている．この構造は上部ケース，保護格子，グローブおよび電灯よりなる．"
"安全パトロール,安全点検の項参照．"
"暗騒音,ある場所において特定の音を対象とする場合に，対象の音以外で，その場所に存在する騒音を対象の音に対して暗騒音という．トンネル工事における暗騒音は，トンネル工事などに係わる建設作業騒音以外の，交通騒音，生活関連騒音等の環境騒音をいう．"
"安息角,粘着力のない砂，礫などをまきこぼした状態で安定を保ち得る最も急な傾斜角．理論的にはゆる詰め状態の内部摩擦角に一致するものであるが，試験法によってもばらつきがある．また，含水状態の影響，粒径が大きい場合のかみ合わせの影響などにより，安息角より急傾斜でも安定することがある．自然の崖錐斜面の傾斜は岩屑の安息角に近い角度であるといわれている．"
"アンダーピニング,既設構造物の真下または既設構造物に近接してトンネルを築造する場合に，既設構造物の荷重を受け替える工法をいう． アンダーピニングを既設構造物の荷重の伝達方法から分類すると，①トンネル躯体をまたいで設けた新設の基礎に，既設構造物荷重を支持し，トンネル躯体に無載荷とする方式②既設構造物を仮受けした後，トンネル躯体完成時点でトンネル躯体に直接載荷し本受けする方式③既設構造物基礎を薬液注入等で補強した後，山岳トンネル工法あるいはシールド工法等でトンネルを築造し，既設構造物荷重をトンネル躯体に間接載荷する方式④トンネル躯体と既設構造物を完全に一体構造とする方式等がある．以上のほか，アンダーピニングの種類は，支持基礎の工種類あるいは支持基礎の施工位置によって表のように分類することができる．"
"安定液,地下連続壁や柱列式連続壁，場所打ち杭の施工の際，掘削孔壁の崩壊防止や掘削土砂と一緒に孔外に吸い上げて搬出するために使用する．一般にベントナイト６～12％程度の溶液に脱水減少剤や分散剤を添加する．安定液は繰り返し使用すると劣化するため，比重，粘性，ｐＨ等の管理を常時行う．"
"安定液置換方式,地下連続璧の泥水固化の方法で，泥水（安定液）を用いて掘削し芯材を建込み・固定した後，安定液と硬化剤を撹拌したものと置換して固化させ壁体を築造する．"
"安定計算,トンネルの安定計算とは，トンネルが構築される状況に応じて，「浮上がりに対する検討」，「支持力に対する検討」，「沈下に対する検討」，「切羽の安定に対する検討」等を行い，安全であることを確認することである．①地下水位以深に構築される開削トンネルでは，揚圧力が作用するので「浮上がりに対する検討」をしなければならない．②一般に，開削トンネルでは，トンネル自重と内部荷重がその排土重量よりも軽いため，地盤の支持力が設計上問題となることは少ないが，偏土圧（偏圧）および上載荷重等が作用するような場合は，「支持力の検討」をしなければならない．③一般に，開削トンネルでは，トンネル自重と内部荷重がその排土重量よりも軽く，基礎地盤としては先行荷重の減少となるので，トンネルの構築によって沈下が発生することは少ないが，トンネルの上部に新たな盛土荷重が加わるような場合，あるいは圧密が進行中の地盤にトンネルを構築する場合には，「沈下に対する検討」をしなければならない．"
"ANFO,硝酸アンモニウムと軽油からなる爆薬で，これらが前者94.3％，後者5.7％のとき最も破砕効果がある．ダイナマイトより鈍感で，雷管だけでは起爆が難しく，親ダイ（雷管をつけたダイナマイト）を使用する．爆発威力も他に比べて弱く，硝酸アンモニウムを主体とするため耐水性がなく，水分4％以上になると急激に爆発威力が低下し，10％を超すと爆発しなくなる．また，後ガスが悪いので坑内での使用は注意を要するが，爆発に対する安全性が高く安価である．"
"アンブレラ工法,イタリアで開発された専用機を用いて施工する長尺先受け工で，日本ではロディンジェット工法が1980年代後半に初めて導入された．イタリア現地における長尺鋼管フォアパイリング，ジェットグラウトなどの総称．"
"ESA工法,函体けん引・推進工法のひとつ．フロンテジャッキング工法の改良工法に分類される．３個以上の函体を貫いてＥＳＡ設備を構成し，１函体が前進する時は他の２函体以上の自重による摩擦抵抗を反力として，ジャッキによるけん引・推進により一方向より全延長を施工する．"
"異形鋼矢板,鋼矢板のウェブを縦方向に切断し，使用目的，場所に合った形に組み立てた鋼矢板．土留めの隅角部やその打ち込み方向を変える場合に使用するものを隅矢板，交差部や断面形状の異なる土留めを接続するものを接続矢板，鋼矢板打ち込みに伴う倒れこみを修正するためのばち形矢板等がある．"
"移行部,道路トンネルの入口部照明を構成する境界部，移行部，緩和部の部分の一つである．移行部は，トンネルの入口部に最も近い部分の境界部に続く部分で，トンネルに進入するまでの間にトンネル内の落下物等を視認するために設けられる．"
"ECL工法,シールドを用いて掘削を行い，従来のセグメントに代えて，テール部で内型枠と妻型枠からなる空間にコンクリートを打設し，テールから押出して地山と密着させて覆工を構築するトンネル工法である．コンクリートを加圧充填することで密実化され，高品位の覆工ができるが，コンクリートの適切な施工性と，テールクリアランスを確保するために高い精度のシールド姿勢制御が必要になる．ヨーロッパにおけるECL工法とは，シールドあるいはTBMなどのトンネル掘削機のテール部において，現場打ちコンクリートで覆工を構築する工法についての呼称である．"
"維持管理,トンネルの維持管理とは，①定期的に検査を行い，また，必要に応じて詳細な検査と調査を行い，それらの結果をもとに健全度を評価する．②評価した健全度をもとに，必要であれば適切な処置（補修，補強などの対策工）を行う．③検査結果と実施した処置について適切に記録する． の一連の手順をいう．維持管理計画は鉄道，道路など，それぞれの事業者が個別に定めている．"
"異常時点検,日常点検等により，調査が必要と判断された場合に実施する点検をいう．"
"一工程式,推進工法において，元押しジャッキを用い先導体及び掘進機により推進菅本体を直接地山を掘削または圧密しながらかつ方向修正を行いながら推進する施工方式である．"
"一次応力,掘削，支保工などの行為が加わる以前の自然状態での地山内の応力．成因としては岩盤の自重，地殼変動，漫食などによる応力履歴および地形がある.測定方法としては，応力解放法その他がある．一次応力の鉛直成分の大きさは，測定位置の上部岩盤の厚さ(土被り)と岩盤の単位体積重量の積で第一近似値が得られる．水平成分の大きさは，地殻変動，地形などの影響を受けて一概に述べることはできないが，水平成分の大きさが鉛直成分のそれと同程度,またはそれ以上という例も報告されており注意を要する．トンネルなどを掘削すると，一次応力は変化する．この変化した後の応力を二次応力という.この一次応力と二次応力を総称して地圧という．トンネルの覆工に地山から作用する外力も地圧とよばれる．初期応力，潜在応力ということもある．"
"一軸圧縮強度試験,円柱または角柱に整形された供試体に拘束圧を加えないで長軸方向に圧縮力を加え破壊させる試験．破壊時の最大荷重から一軸圧縮強さを求める．円柱以外に三角，四角，六角等の供試体も使用されるが，形状効果により求められる圧縮強さはかなり異なる．供試体の軸方向とそれに直交する方向のひずみを測定することによって，ヤング率やポアソン比等の力学的性質を求めることができる．トンネル地山の力学安定性評価においては最も重要な試験項目のひとつであり，地山強度比等の算定に用いられる．一軸圧縮試験機を用いて測られ，試料の圧縮ひずみが15％に達するまでの応力・ひずみ曲線から求めた最大圧縮応力を求めて一軸圧縮強さとする．"
"一軸圧縮強さ,一軸圧縮強度試験によって得られる軸応力の最大値．一般にquで表す．一軸圧縮強度．一軸圧縮強さと土被り圧（地山の単位体積重量×土被り）の比で求められる地山強度比はトンネル安定性を評価する上で重要な指標．"
"一次止水,地盤沈下，温度変化等の常時荷重と地震荷重による継手変形とくに開きに対して止水する構造．ゴム材料を使用し静水圧で接合する．沈埋函同士の接合の時ゴムガスケットにより一次止水を行う．沈埋函がセグメント工法で製作される場合は，接合部に止水板を設置する．"
"一次支保,トンネルの掘削後に発生する応力，変位に対して周辺地山と一体になって作用し，周辺地山の支保機能を有効に活用して，早期にトンネルおよび周辺地山の安定化を図るための支保工のことをいう．支保部材には吹付けコンクリート，ロックボルトおよび鋼製支保工等があり，これらの支保部材の特長を考慮して単独，または組合せて用いることにより，効果的な支保構造とする必要がある．"
